"FullName"	"SizeMB"
"D:\MAGIC\.git\objects\pack\pack-81c69941dd420b48c520021d964966a16cb567b3.pack"	"202.64"
"D:\MAGIC\tools\bin\rclone\rclone.exe"	"64.27"
"D:\MAGIC\.git\lfs\objects\3e\36\3e36b396c4cb71b8eaae2300c21bec26700b27ce5f6be83ef6b86d214e294c8b"	"64.27"
"D:\MAGIC\backups\installers\AzureCLI_A1DB175C_A1DB175C.msi"	"63.89"
"D:\MAGIC\venv\Scripts\ruff.exe"	"36.59"
"D:\MAGIC\venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-860d95b1c38e637ce4509f5fa24fbf2a.dll"	"19.46"
"D:\MAGIC\chromedriver.exe"	"18.41"
"D:\MAGIC\backups\installers\chromedriver_2889FA77_2889FA77.exe"	"18.41"
"D:\MAGIC\venv\Lib\site-packages\edfc647aaf02b20aa651__mypyc.cp313-win_amd64.pyd"	"16.31"
"D:\MAGIC\backups\wheels\numpy-1.24.4-cp310-cp310-win_amd64.whl"	"14.15"
"D:\MAGIC\scripts\phase00\INBOX\inventory_full_462497A3_462497A3.json"	"12.96"
"D:\MAGIC\backups\wheels\numpy-2.2.6-cp310-cp310-win_amd64.whl"	"12.31"
"D:\MAGIC\backups\wheels\pandas-2.0.3-cp310-cp310-win_amd64.whl"	"10.17"
"D:\MAGIC\venv\Lib\site-packages\cryptography\hazmat\bindings\_rust.pyd"	"8.56"
"D:\MAGIC\venv\Lib\site-packages\PIL\_avif.cp313-win_amd64.pyd"	"7.47"
"D:\MAGIC\scripts\phase00\INBOX\inventory_full_CDECF0CF_CDECF0CF.tsv"	"7.01"
"D:\MAGIC\scripts\phase00\INBOX\magic_full_scan_0DB0F3BC_0DB0F3BC.tsv"	"6.21"
"D:\MAGIC\scripts\phase00\INBOX\quick_scan_BFA950C3_BFA950C3.tsv"	"6.21"
"D:\MAGIC\scripts\phase00\INBOX\orphans_2E2BFD85_2E2BFD85.tsv"	"5.88"
"D:\MAGIC\scripts\phase00\INBOX\inventory_full_8AF664A8_119DE9DE.json"	"4.84"
"D:\MAGIC\venv\Lib\site-packages\pydantic_core\_pydantic_core.cp313-win_amd64.pyd"	"4.83"
"D:\MAGIC\scripts\phase00\INBOX\notion_export_9C4469B6_9C4469B6.json"	"4.51"
"D:\MAGIC\venv\Lib\site-packages\numpy\_core\_multiarray_umath.cp313-win_amd64.pyd"	"4.32"
"D:\MAGIC\venv\Lib\site-packages\lxml\etree.cp313-win_amd64.pyd"	"3.92"
"D:\MAGIC\scripts\phase00\INBOX\orphans_44F298B0_FF6FE280.json"	"3.19"
